Date,Open,High,Low,Close,Volume
2024-10-09 00:00:00-04:00,27.0,27.700000762939453,25.719999313354492,26.1299991607666,9405300
2024-10-10 00:00:00-04:00,26.079999923706055,28.389999389648438,24.600000381469727,28.040000915527344,3222600
2024-10-11 00:00:00-04:00,27.3700008392334,28.959999084472656,27.139999389648438,28.420000076293945,971300
2024-10-14 00:00:00-04:00,28.639999389648438,29.0,27.549999237060547,28.860000610351562,1302400
2024-10-15 00:00:00-04:00,28.809999465942383,29.399999618530273,28.18000030517578,28.280000686645508,3306800
2024-10-16 00:00:00-04:00,28.049999237060547,28.655000686645508,27.700000762939453,28.350000381469727,960800
2024-10-17 00:00:00-04:00,28.510000228881836,28.649999618530273,27.959999084472656,28.270000457763672,239700
2024-10-18 00:00:00-04:00,28.0,28.530000686645508,28.0,28.350000381469727,304800
2024-10-21 00:00:00-04:00,28.100000381469727,28.549999237060547,27.8799991607666,28.09000015258789,431600
2024-10-22 00:00:00-04:00,28.09000015258789,28.420000076293945,27.739999771118164,28.309999465942383,339200
2024-10-23 00:00:00-04:00,27.780000686645508,29.208999633789062,27.6299991607666,29.040000915527344,275400
2024-10-24 00:00:00-04:00,29.3799991607666,29.3799991607666,28.139999389648438,28.459999084472656,177000
2024-10-25 00:00:00-04:00,28.299999237060547,29.110000610351562,28.030000686645508,28.360000610351562,163600
2024-10-28 00:00:00-04:00,28.700000762939453,28.700000762939453,27.979999542236328,28.09000015258789,229500
2024-10-29 00:00:00-04:00,28.110000610351562,28.700000762939453,28.110000610351562,28.389999389648438,310700
2024-10-30 00:00:00-04:00,28.59000015258789,29.610000610351562,28.315000534057617,29.40999984741211,157600
2024-10-31 00:00:00-04:00,28.399999618530273,29.889999389648438,28.399999618530273,29.15999984741211,262900
2024-11-01 00:00:00-04:00,28.989999771118164,29.079999923706055,28.31999969482422,28.31999969482422,271200
2024-11-04 00:00:00-05:00,28.739999771118164,29.479999542236328,28.299999237060547,28.56999969482422,278200
2024-11-05 00:00:00-05:00,28.540000915527344,29.079999923706055,26.56999969482422,26.979999542236328,696600
2024-11-06 00:00:00-05:00,27.549999237060547,28.329999923706055,26.93000030517578,27.809999465942383,511900
2024-11-07 00:00:00-05:00,27.829999923706055,28.829999923706055,27.329999923706055,28.399999618530273,158300
2024-11-08 00:00:00-05:00,28.190000534057617,28.40999984741211,27.649999618530273,27.850000381469727,172100
2024-11-11 00:00:00-05:00,27.649999618530273,27.790000915527344,26.299999237060547,27.280000686645508,271500
2024-11-12 00:00:00-05:00,27.459999084472656,27.924999237060547,27.222999572753906,27.469999313354492,192000
2024-11-13 00:00:00-05:00,27.399999618530273,27.549999237060547,25.6299991607666,25.6299991607666,258800
2024-11-14 00:00:00-05:00,25.469999313354492,26.31999969482422,24.530000686645508,24.530000686645508,289500
2024-11-15 00:00:00-05:00,24.200000762939453,24.46500015258789,23.31999969482422,23.360000610351562,399500
2024-11-18 00:00:00-05:00,23.350000381469727,23.860000610351562,23.34000015258789,23.5,255500
2024-11-19 00:00:00-05:00,23.209999084472656,23.790000915527344,23.1299991607666,23.639999389648438,310600
2024-11-20 00:00:00-05:00,23.389999389648438,23.549999237060547,22.25,22.799999237060547,546600
2024-11-21 00:00:00-05:00,22.0,22.920000076293945,19.020000457763672,19.3700008392334,1974100
2024-11-22 00:00:00-05:00,20.139999389648438,21.0,19.0,20.8700008392334,1064100
2024-11-25 00:00:00-05:00,21.809999465942383,23.399999618530273,21.780000686645508,22.540000915527344,807600
2024-11-26 00:00:00-05:00,22.09000015258789,24.399999618530273,22.0,23.479999542236328,572600
2024-11-27 00:00:00-05:00,23.1200008392334,24.040000915527344,23.1200008392334,23.270000457763672,310700
2024-11-29 00:00:00-05:00,23.280000686645508,24.299999237060547,23.110000610351562,23.790000915527344,202800
2024-12-02 00:00:00-05:00,23.65999984741211,24.139999389648438,21.809999465942383,22.479999542236328,609300
2024-12-03 00:00:00-05:00,22.420000076293945,23.09000015258789,22.0,22.459999084472656,436700
2024-12-04 00:00:00-05:00,22.280000686645508,24.709999084472656,22.222000122070312,23.540000915527344,605500
2024-12-05 00:00:00-05:00,22.8700008392334,23.600000381469727,22.530000686645508,22.8700008392334,407400
2024-12-06 00:00:00-05:00,23.020000457763672,23.149999618530273,22.079999923706055,22.190000534057617,560300
